Quote Date,Quote ID,Quote Number,Quote Status,Customer ID,Branch Name,Expiry Date,PurchaseOrder,Currency Code,Exchange Rate,Discount Type,Is Discount Before Tax,Entity Discount Percent,Is Inclusive Tax,SubTotal,Total,Adjustment,Notes,Terms & Conditions,Customer Name,Place of Supply,Place of Supply(With State Code),GST Treatment,GST Identification Number (GSTIN),Is Export Without LUT/Bond,Tax Collected From Customer,Project Name,Project ID,Sales person,Billing Address,Billing City,Billing State,Billing Country,Billing Code,Billing Fax,Template Name,Adjustment Description,Shipping Address,Shipping City,Shipping State,Shipping Country,Shipping Code,Shipping Fax,Source,Reference ID,Last Sync Time,TCS Amount,Entity Discount Amount,TDS Name,TDS Section Code,TDS Section,TDS Percentage,TDS Amount,TCS Tax Name,TCS Percentage,Nature Of Collection,Shipping Charge,Shipping Charge Tax ID,Shipping Charge Tax Amount,Shipping Charge Tax Name,Shipping Charge Tax %,Shipping Charge Tax Type,Shipping Charge Tax Exemption Code,Shipping Charge SAC Code,Item Name,Item Desc,HSN/SAC,Quantity,Discount,Discount Amount,Item Tax Amount,Item Total,MRP,Is Tax Calculated on Label Price,Product ID,Account,SKU,UPC,MPN,EAN,ISBN,Usage unit,Item Price,Supply Type,Tax ID,Item Tax,Item Tax %,Item Tax Type,Reverse Charge Tax Name,Reverse Charge Tax Rate,Reverse Charge Tax Type,CGST Rate %,SGST Rate %,IGST Rate %,CESS Rate %,CGST(FCY),SGST(FCY),IGST(FCY),CESS(FCY),CGST,SGST,IGST,CESS,Item Tax Exemption Reason,Item Type,Loaction,Kit Combo Item Name,Item.CF.No of pcs in Master carton
2020-08-04,99381000001196010,EST001,sent,99381000000112170,Cochin,,,INR,1.00,entity_level,true,0.00,false,19655.00,19655.00,0.00,Looking forward for your business.,,MEEZAN ELECTRONIC SCALES PRIVATE LIMITED,32,32-Kerala,business_gst,32AAECM1277C1ZY,NO,NO,,,,,,Kerala,India,,,Standard Template,Adjustment,"8/308A Meezan Tower 
Calicut Road , Manjeri",MANJERI,Kerala,India,676121,,1,,,,0.000,,,,0.00,0.000,,,,0.00,,,,,,,,Stamping Expense 20 KG,,998729,23.00,0.00,0.0,0.00,3910.00,,FALSE,99381000000172016,Sales,SF20,,,,,nos,170.00,Zero Rated,99381000000006152,GST0,0.00,Tax Group,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,goods,,,
2020-08-04,99381000001196010,EST001,sent,99381000000112170,Cochin,,,INR,1.00,entity_level,true,0.00,false,19655.00,19655.00,0.00,Looking forward for your business.,,MEEZAN ELECTRONIC SCALES PRIVATE LIMITED,32,32-Kerala,business_gst,32AAECM1277C1ZY,NO,NO,,,,,,Kerala,India,,,Standard Template,Adjustment,"8/308A Meezan Tower 
Calicut Road , Manjeri",MANJERI,Kerala,India,676121,,1,,,,0.000,,,,0.00,0.000,,,,0.00,,,,,,,,Stamping Expense 30 kg,,998729,15.00,0.00,0.0,0.00,5025.00,,FALSE,99381000000186027,Sales,SF30,,,,,nos,335.00,Zero Rated,99381000000006152,GST0,0.00,Tax Group,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,goods,,,
2020-08-04,99381000001196010,EST001,sent,99381000000112170,Cochin,,,INR,1.00,entity_level,true,0.00,false,19655.00,19655.00,0.00,Looking forward for your business.,,MEEZAN ELECTRONIC SCALES PRIVATE LIMITED,32,32-Kerala,business_gst,32AAECM1277C1ZY,NO,NO,,,,,,Kerala,India,,,Standard Template,Adjustment,"8/308A Meezan Tower 
Calicut Road , Manjeri",MANJERI,Kerala,India,676121,,1,,,,0.000,,,,0.00,0.000,,,,0.00,,,,,,,,Stamping Expense 50 kg,,998729,32.00,0.00,0.0,0.00,10720.00,,FALSE,99381000000186036,Sales,SF50,,,,,nos,335.00,Zero Rated,99381000000006152,GST0,0.00,Tax Group,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,goods,,,
2020-08-04,99381000001197185,EST002,sent,99381000000017031,Cochin,,,INR,1.00,entity_level,true,0.00,false,13140.00,13140.00,0.00,Looking forward for your business.,This is an estimate of the machines stamping plates of the invoice YS912,EXATA BALANCE CO,32,32-Kerala,business_gst,32AAGFE6830Q1Z4,NO,NO,,,,"Muringathazham Road, Vattappara",Malappuram,Kerala,India,676552,,Standard Template,Adjustment,"Muringathazham Road, Vattappara",Malappuram,Kerala,India,676552,,1,,,,0.000,,,,0.00,0.000,,,,0.00,,,,,,,,Government Stamping Fee 20 KG,Serial No:TH13530 To TH13559,998729,30.00,0.00,0.0,0.00,5100.00,,FALSE,99381000000172016,Sales,SF20,,,,,nos,170.00,Zero Rated,99381000000006152,GST0,0.00,Tax Group,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,goods,,,
2020-08-04,99381000001197185,EST002,sent,99381000000017031,Cochin,,,INR,1.00,entity_level,true,0.00,false,13140.00,13140.00,0.00,Looking forward for your business.,This is an estimate of the machines stamping plates of the invoice YS912,EXATA BALANCE CO,32,32-Kerala,business_gst,32AAGFE6830Q1Z4,NO,NO,,,,"Muringathazham Road, Vattappara",Malappuram,Kerala,India,676552,,Standard Template,Adjustment,"Muringathazham Road, Vattappara",Malappuram,Kerala,India,676552,,1,,,,0.000,,,,0.00,0.000,,,,0.00,,,,,,,,Government Stamping Fee 50 kg,Serial No:TH13804 To TH13827,998729,24.00,0.00,0.0,0.00,8040.00,,FALSE,99381000000186036,Sales,SF50,,,,,nos,335.00,Zero Rated,99381000000006152,GST0,0.00,Tax Group,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,goods,,,
2020-08-05,99381000001205042,EST003,sent,99381000001137001,Cochin,,,INR,1.00,entity_level,true,0.00,false,8580.00,8580.00,0.00,Looking forward for your business.,This is an estimate of the machines stamping plates of the invoice YS928,AMANA INSTRUMENTS,32,32-Kerala,business_gst,32AVVPA5492J1Z7,NO,NO,,,,"Mukkam Road,
Pathanapuram",Malappuram,Kerala,India,673639,,Standard Template,Adjustment,"Mukkam Road,
Pathanapuram",Malappuram,Kerala,India,673639,,1,,,,0.000,,,,0.00,0.000,,,,0.00,,,,,,,,Government Stamping Fee 20 KG,Serial No:TG11610 To TG11624,998729,15.00,0.00,0.0,0.00,2550.00,,FALSE,99381000000172016,Sales,SF20,,,,,nos,170.00,Zero Rated,99381000000006152,GST0,0.00,Tax Group,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,goods,,,
2020-08-05,99381000001205042,EST003,sent,99381000001137001,Cochin,,,INR,1.00,entity_level,true,0.00,false,8580.00,8580.00,0.00,Looking forward for your business.,This is an estimate of the machines stamping plates of the invoice YS928,AMANA INSTRUMENTS,32,32-Kerala,business_gst,32AVVPA5492J1Z7,NO,NO,,,,"Mukkam Road,
Pathanapuram",Malappuram,Kerala,India,673639,,Standard Template,Adjustment,"Mukkam Road,
Pathanapuram",Malappuram,Kerala,India,673639,,1,,,,0.000,,,,0.00,0.000,,,,0.00,,,,,,,,Government Stamping Fee 30 kg,Serial No:TG11605 To TG11609,998729,5.00,0.00,0.0,0.00,1675.00,,FALSE,99381000000186027,Sales,SF30,,,,,nos,335.00,Zero Rated,99381000000006152,GST0,0.00,Tax Group,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,goods,,,
2020-08-05,99381000001205042,EST003,sent,99381000001137001,Cochin,,,INR,1.00,entity_level,true,0.00,false,8580.00,8580.00,0.00,Looking forward for your business.,This is an estimate of the machines stamping plates of the invoice YS928,AMANA INSTRUMENTS,32,32-Kerala,business_gst,32AVVPA5492J1Z7,NO,NO,,,,"Mukkam Road,
Pathanapuram",Malappuram,Kerala,India,673639,,Standard Template,Adjustment,"Mukkam Road,
Pathanapuram",Malappuram,Kerala,India,673639,,1,,,,0.000,,,,0.00,0.000,,,,0.00,,,,,,,,Government Stamping Fee 50 kg,Serial No:TG11546 To TG11553,998729,8.00,0.00,0.0,0.00,2680.00,,FALSE,99381000000186036,Sales,SF50,,,,,nos,335.00,Zero Rated,99381000000006152,GST0,0.00,Tax Group,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,goods,,,
2020-08-05,99381000001205042,EST003,sent,99381000001137001,Cochin,,,INR,1.00,entity_level,true,0.00,false,8580.00,8580.00,0.00,Looking forward for your business.,This is an estimate of the machines stamping plates of the invoice YS928,AMANA INSTRUMENTS,32,32-Kerala,business_gst,32AVVPA5492J1Z7,NO,NO,,,,"Mukkam Road,
Pathanapuram",Malappuram,Kerala,India,673639,,Standard Template,Adjustment,"Mukkam Road,
Pathanapuram",Malappuram,Kerala,India,673639,,1,,,,0.000,,,,0.00,0.000,,,,0.00,,,,,,,,Government Stamping Fee 100Kg,,998729,3.00,0.00,0.0,0.00,1005.00,,FALSE,99381000000663063,Sales,SF100,,,,,nos,335.00,Zero Rated,99381000000006152,GST0,0.00,Tax Group,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,goods,,,
2020-08-05,99381000001205042,EST003,sent,99381000001137001,Cochin,,,INR,1.00,entity_level,true,0.00,false,8580.00,8580.00,0.00,Looking forward for your business.,This is an estimate of the machines stamping plates of the invoice YS928,AMANA INSTRUMENTS,32,32-Kerala,business_gst,32AVVPA5492J1Z7,NO,NO,,,,"Mukkam Road,
Pathanapuram",Malappuram,Kerala,India,673639,,Standard Template,Adjustment,"Mukkam Road,
Pathanapuram",Malappuram,Kerala,India,673639,,1,,,,0.000,,,,0.00,0.000,,,,0.00,,,,,,,,Government Stamping Fee 200Kg,,998729,2.00,0.00,0.0,0.00,670.00,,FALSE,99381000000548508,Sales,SF200,,,,,nos,335.00,Zero Rated,99381000000006152,GST0,0.00,Tax Group,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,goods,,,
